"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"54",-122.27,37.82,52,1630,456,1162,400,1.2475,11.5540674083014
"56",-122.28,37.82,52,945,243,576,220,1.4113,11.3277999808435
"57",-122.28,37.82,52,1238,288,622,259,1.5057,11.3793940723457
"58",-122.28,37.82,52,1489,335,728,244,0.8172,11.3539297334798
"59",-122.28,37.82,52,1387,341,1074,304,1.2171,11.2935248999349
"60",-122.29,37.82,2,158,43,94,57,2.5625,11.0020998412042
"64",-122.3,37.81,52,1224,237,521,159,1.191,11.2398035438498
"65",-122.3,37.81,48,828,182,392,133,2.5938,11.2050406852009
"67",-122.3,37.81,48,1455,354,788,332,0.8056,11.343322680584
"68",-122.29,37.8,52,1027,244,492,147,2.6094,11.3059012955359
"73",-122.29,37.81,49,844,204,560,152,1.75,11.2252433925184
"75",-122.29,37.81,20,835,161,290,133,2.483,11.8313791960888
"77",-122.28,37.81,36,2914,562,1236,509,2.4464,11.5337080041528
"80",-122.28,37.8,38,684,176,344,155,2.0114,11.7852400602909
"82",-122.27,37.81,52,210,56,183,56,1.1667,11.6307085006266
"83",-122.28,37.81,52,340,97,200,87,1.5208,11.6307085006266
"84",-122.28,37.81,52,386,164,346,155,0.8075,11.8313791960888
"85",-122.28,37.81,35,948,184,467,169,1.8088,11.6851966859107
"86",-122.28,37.81,52,773,143,377,115,2.4083,11.4947614943426
"87",-122.27,37.81,40,880,451,582,380,0.977,11.6851966859107
"94",-122.27,37.79,27,1055,347,718,302,2.6354,12.1415341243926
"95",-122.27,37.8,39,1715,623,1327,467,1.8477,12.096257779523
"98",-122.26,37.81,29,335,107,202,91,2.0062,11.7360690162844
"101",-122.25,37.81,29,4656,1414,2304,1250,2.4912,12.4599393694872
"103",-122.25,37.81,39,854,242,389,228,3.125,12.3779229024568
"105",-122.26,37.81,34,5871,1914,2689,1789,2.8406,12.7239731829681
"106",-122.24,37.82,52,1509,225,674,244,4.9306,12.6552356089041
"107",-122.24,37.81,52,2026,482,709,456,3.2727,12.5006061929311
"109",-122.24,37.82,52,3481,751,1444,718,3.9,12.5270685970119
"111",-122.25,37.82,52,1424,289,550,253,5.0917,12.4780063610138
"114",-122.25,37.83,52,2376,559,939,519,3.1484,12.319847659789
"117",-122.25,37.83,28,5022,1750,2558,1661,2.4234,12.2945412935178
"118",-122.25,37.83,52,4190,1105,1786,1037,3.0897,12.363503653479
"119",-122.23,37.84,50,2515,399,970,373,5.8596,12.6995486309611
"120",-122.23,37.84,47,3175,454,1098,485,5.2868,12.7588076723734
"121",-122.24,37.83,41,2576,406,794,376,5.956,12.8106617991083
"123",-122.23,37.85,52,2800,411,1061,403,6.3434,12.8309409853368
"124",-122.24,37.84,52,3529,574,1177,555,5.1773,12.8726191442929
"125",-122.24,37.85,52,2612,365,901,367,7.2354,12.8767185607436
"127",-122.22,37.84,50,2935,473,1031,479,7.5,12.5954083717085
"130",-122.2,37.84,30,2211,346,844,343,6.0666,12.6491546172096
"131",-122.21,37.84,34,3038,490,1140,496,7.0548,12.6943458648257
"132",-122.19,37.84,18,1617,210,533,194,11.6017,12.8805465608245
"133",-122.2,37.84,35,2865,460,1072,443,7.4882,12.6738863787029
"134",-122.21,37.83,34,5065,788,1627,766,6.8976,12.7167982642958
"136",-122.2,37.83,26,1589,223,542,211,8.401,12.7691111407431
"137",-122.19,37.83,29,1791,271,661,269,6.8538,12.8182808835848
"138",-122.19,37.82,32,1835,264,635,263,8.317,12.8101153510073
"139",-122.2,37.82,37,1229,181,420,176,7.0175,12.8122993540594
"140",-122.2,37.82,39,3770,534,1265,500,6.3302,12.8016069972231
"141",-122.18,37.81,30,292,38,126,52,6.3624,13.0883928578332
"142",-122.21,37.82,52,2375,333,813,350,7.0549,12.7110813839746
"144",-122.21,37.8,50,2833,605,1260,552,2.8929,12.2862691875245
"146",-122.21,37.81,52,1389,212,510,224,5.2402,12.5994651724041
"147",-122.22,37.81,52,1971,335,765,308,6.5217,12.5197878950288
"148",-122.22,37.8,52,2183,465,1129,460,3.2632,12.3357842520518
"150",-122.22,37.8,52,2721,541,1185,515,4.5428,12.3875605215756
"151",-122.22,37.81,52,2024,339,756,340,4.072,12.5065475397807
"152",-122.22,37.81,52,2944,536,1034,521,5.3509,12.6185133673748
"153",-122.23,37.8,52,2033,486,787,459,3.1603,12.5043236693312
"154",-122.23,37.81,52,1433,229,612,213,4.7708,12.6593750830525
"156",-122.23,37.81,52,2315,292,861,258,8.8793,12.9246438784303
"157",-122.24,37.81,52,2485,313,953,327,6.8591,12.7725221730442
"158",-122.24,37.81,52,1490,238,634,256,6.0302,12.5682822449674
"159",-122.23,37.81,52,2814,365,878,352,7.508,12.7619672326637
"160",-122.24,37.81,52,2093,550,918,483,2.7477,12.4041034960293
"161",-122.24,37.8,52,888,168,360,175,2.1944,12.2619802774685
"163",-122.24,37.81,52,2513,502,1048,518,3.675,12.5058067990061
"164",-122.25,37.81,46,3232,835,1373,747,3.225,12.29591334953
"165",-122.25,37.8,42,4120,1065,1715,1015,2.9345,12.3238556811866
"167",-122.25,37.8,41,1471,469,1062,413,1.6121,12.0517552851458
"168",-122.25,37.8,29,2468,864,1335,773,1.3929,12.1745819784388
"172",-122.25,37.79,52,1339,391,1086,363,2.181,11.8407893270548
"173",-122.25,37.8,36,1678,606,1645,543,2.2303,11.6673618182746
"174",-122.25,37.8,43,2344,647,1710,644,1.6504,11.9303191439437
"175",-122.24,37.8,52,996,228,731,228,2.2697,11.7519423654407
"180",-122.24,37.8,52,1803,420,1321,401,2.957,11.7183122946952
"181",-122.24,37.8,49,2838,749,1487,677,2.5238,12.0394275681212
"182",-122.23,37.8,52,783,184,488,186,1.9375,11.7487877886922
"183",-122.23,37.8,51,1590,414,949,392,1.9028,11.7590039875669
"185",-122.23,37.8,52,1252,299,844,280,2.3929,11.6253608943
"191",-122.24,37.79,52,674,180,647,168,3.375,11.662207167686
"192",-122.24,37.79,43,1626,376,1284,357,2.2542,11.6280382720707
"194",-122.25,37.79,39,461,129,381,123,1.6,11.6307085006266
"196",-122.26,37.8,20,2373,779,1659,676,1.6929,11.6526874073454
"198",-122.22,37.77,52,1137,301,866,259,2.59,11.4762614805986
"202",-122.22,37.78,50,1920,530,1525,477,1.4886,11.7660160926524
"203",-122.23,37.78,43,1420,472,1506,438,1.9338,11.6307085006266
"204",-122.23,37.78,52,986,258,1008,255,1.4844,11.6902344799406
"206",-122.23,37.79,48,1696,396,1481,343,2.0375,11.7158663089669
"207",-122.23,37.79,49,1175,217,859,219,2.293,11.57402056433
"208",-122.22,37.79,37,2343,574,1608,523,2.1494,11.7943379244084
"209",-122.23,37.79,30,610,145,425,140,1.6198,11.717497630699
"210",-122.23,37.79,40,930,199,564,184,1.3281,11.6377944470161
"211",-122.22,37.79,44,1487,314,961,272,3.5156,11.6036798282387
"214",-122.22,37.79,46,2366,575,1647,527,2.6042,11.7336661316681
"216",-122.22,37.79,38,3049,711,2167,659,2.7969,11.8614674256788
"217",-122.2,37.79,29,1640,376,939,340,2.8321,11.9183905730784
"218",-122.21,37.79,47,1543,307,859,292,2.9583,11.8407893270548
"219",-122.21,37.79,34,2364,557,1517,516,2.8365,11.8436670268825
"224",-122.2,37.8,52,1547,293,706,268,4.7721,12.2881133558664
"225",-122.21,37.8,52,3519,711,1883,706,3.4861,12.1393985122622
"228",-122.19,37.8,48,1694,259,610,238,4.744,12.4579979982698
"229",-122.19,37.8,46,1938,341,768,332,4.2727,12.4167386753333
"230",-122.19,37.79,50,968,195,462,184,2.9844,12.1001564199386
"231",-122.2,37.79,40,1060,256,667,235,4.1739,12.0411980023399
"235",-122.19,37.79,28,3144,761,1737,669,2.9297,11.8529627677559
"237",-122.2,37.79,49,882,195,737,210,2.6667,11.7117763237154
"238",-122.2,37.79,44,1621,452,1354,491,2.619,11.8108053623985
"245",-122.22,37.78,44,2968,710,2269,610,2.3906,11.6235719850573
"247",-122.21,37.78,47,881,248,753,241,2.625,11.6199845372636
"248",-122.22,37.77,40,494,114,547,135,2.8015,11.6509467628676
"249",-122.22,37.78,50,1776,473,1807,440,1.7276,11.5356649519397
"250",-122.22,37.78,44,1678,514,1700,495,2.0801,11.7897993387054
"252",-122.21,37.76,52,1420,314,1085,300,1.7546,11.2972539284947
"254",-122.21,37.77,52,745,153,473,149,2.6765,11.3941419289803
"256",-122.21,37.77,46,1234,375,1183,354,2.3309,11.4998402254216
"257",-122.21,37.77,43,1017,328,836,277,2.2604,11.5129254649702
"258",-122.19,37.77,42,932,254,900,263,1.8039,11.4327994204909
"259",-122.2,37.77,39,2689,597,1888,537,2.2562,11.4595246882431
"260",-122.2,37.77,41,1547,415,1024,341,2.0562,11.5327280922664
"262",-122.2,37.78,39,1752,399,1071,376,3.1167,11.7084922485142
"263",-122.2,37.78,50,1867,403,1128,378,2.5401,11.7683425768347
"265",-122.21,37.78,44,1729,414,1240,393,2.3125,11.5405406320032
"269",-122.19,37.78,52,2492,415,1109,375,4.3125,12.0100577616042
"270",-122.19,37.78,52,2198,397,984,369,3.22,11.9608112889623
"272",-122.19,37.78,49,1183,205,496,209,5.2328,12.0679593434005
"277",-122.18,37.79,46,2109,387,922,329,3.9712,12.2457740123817
"278",-122.19,37.79,47,1229,243,582,256,2.9514,12.1965272326866
"280",-122.18,37.81,37,1643,262,620,266,5.4446,12.7269476051492
"281",-122.18,37.8,34,1355,195,442,195,6.2838,12.6704353948858
"282",-122.18,37.8,23,2317,336,955,328,6.7527,12.5630475444779
"284",-122.16,37.79,22,12842,2048,4985,1967,5.9849,12.8239573415896
"289",-122.17,37.78,49,893,177,468,181,3.875,11.8536742583587
"290",-122.17,37.78,52,653,128,296,121,4.175,11.8775685785581
"291",-122.16,37.77,47,1256,217,570,218,4.375,11.9947341396657
"294",-122.16,37.77,39,1583,349,857,316,3.0958,11.8899910985567
"296",-122.17,37.77,31,2424,533,1360,452,1.871,11.4153126361032
"298",-122.17,37.76,47,2118,413,965,382,2.1842,11.5889601512462
"300",-122.17,37.76,38,1764,397,987,354,2.4333,11.4947614943426
"301",-122.18,37.76,50,1187,261,907,246,1.9479,11.4019939042629
"302",-122.18,37.76,52,754,175,447,165,3.9063,11.4489201349943
"304",-122.18,37.77,27,909,236,396,157,2.0786,11.4876076569859
"305",-122.18,37.77,42,1180,257,877,268,2.8125,11.4855542681741
"309",-122.18,37.77,51,2107,471,1173,438,3.2552,11.6960800080681
"310",-122.18,37.77,52,1748,362,1029,366,2.0556,11.5129254649702
"312",-122.2,37.76,47,1116,259,826,279,1.75,11.3586081045859
"313",-122.19,37.77,41,2036,510,1412,454,2.0469,11.3997567668646
"315",-122.19,37.76,41,921,207,522,159,1.2083,11.1913418408428
"317",-122.2,37.75,36,606,132,531,133,1.5809,11.1562505210315
"318",-122.2,37.76,37,2680,736,1925,667,1.4097,11.3456895455943
"320",-122.19,37.75,19,2207,565,1481,520,1.3194,11.3071305519906
"325",-122.19,37.73,44,1066,253,825,244,2.1538,11.2860248647783
"327",-122.19,37.73,45,1528,291,801,287,1.2625,11.3468708806401
"328",-122.18,37.73,42,909,215,646,198,2.9063,11.289781913656
"329",-122.18,37.73,43,1391,293,855,285,2.5192,11.2437379751546
"331",-122.18,37.73,42,4074,874,2736,780,2.455,11.3193407158976
"336",-122.18,37.74,35,504,126,323,109,1.8438,11.413105129688
"337",-122.17,37.74,46,1026,226,749,225,3.0298,11.5861759267098
"338",-122.17,37.74,46,769,183,693,178,2.25,11.3409502002304
"339",-122.18,37.74,46,2103,391,1339,354,2.2467,11.395267421502
"341",-122.18,37.75,46,941,218,621,195,1.325,11.3748121628406
"345",-122.18,37.75,43,1036,233,652,213,2.069,11.3456895455943
"347",-122.17,37.76,33,1280,307,999,286,2.5625,11.3997567668646
"348",-122.17,37.75,43,1587,320,907,306,1.9821,11.4957793061353
"350",-122.17,37.75,44,1218,248,763,254,2.3281,11.3941419289803
"351",-122.17,37.75,48,1751,390,935,349,1.4375,11.4075649493124
"352",-122.16,37.76,45,2299,514,1437,484,2.5122,11.4668815264688
"353",-122.16,37.75,38,2457,624,1516,482,1.5625,11.4262776582446
"356",-122.16,37.76,46,1827,307,881,302,4.6696,12.0094493040254
"357",-122.16,37.76,36,2781,574,1438,519,2.4598,11.9544010106014
"358",-122.15,37.76,39,1823,286,763,270,6.0749,12.1904512646272
"359",-122.14,37.77,27,2229,365,1297,355,4.8304,12.5393254195244
"365",-122.14,37.75,33,1334,200,579,202,6.8323,12.4525420221479
"366",-122.13,37.75,30,414,54,137,50,4.975,12.6478696828857
"367",-122.13,37.75,36,768,93,229,93,5.3602,12.7068479334427
"370",-122.15,37.75,40,1445,256,849,255,3.8913,11.7464153083386
"372",-122.15,37.74,41,856,178,571,191,3.1458,11.7798944958245
"374",-122.16,37.75,44,617,131,378,135,2.5568,11.6181859756277
"377",-122.16,37.75,40,1227,294,928,261,1.8235,11.4637352207795
"378",-122.16,37.75,35,667,140,406,133,3.8047,11.4542364686215
"379",-122.17,37.74,34,1223,281,824,280,2.2917,11.4349639235005
"380",-122.17,37.75,37,1379,287,835,259,2.4962,11.4273675766086
"382",-122.16,37.74,46,1029,181,567,211,3.4844,11.7714361601217
"383",-122.16,37.74,52,771,147,355,144,4.1458,11.8733932071477
"385",-122.16,37.74,44,1097,239,609,215,2.0227,11.5434546700051
"389",-122.3,37.9,38,2263,522,1027,509,3.5125,12.3202937896202
"390",-122.29,37.89,52,1571,349,693,326,3.1375,12.3419138684416
"391",-122.3,37.89,46,1520,402,815,375,2.8036,12.2624529789663
"394",-122.3,37.89,52,1248,283,620,275,4.0875,12.3072745260391
"396",-122.34,37.88,37,3061,930,2556,924,1.7375,12.7656884334656
"398",-122.29,37.88,50,1211,261,523,227,3.8672,12.2862691875245
"399",-122.29,37.89,52,979,175,374,153,5.1675,12.5083969947188
"400",-122.29,37.89,52,2269,380,1004,371,5.1696,12.4738070801723
"401",-122.28,37.88,52,1844,332,769,334,4.2614,12.4734244515087
"402",-122.29,37.89,52,2178,421,940,423,5.0551,12.3553543482459
"405",-122.27,37.9,52,2079,273,684,275,7.9556,12.8330800235856
"406",-122.27,37.9,52,1803,240,572,236,6.174,12.7905204091668
"407",-122.27,37.9,52,2041,270,671,253,6.9414,12.942039823273
"409",-122.28,37.9,52,2318,328,779,312,7.1754,12.8018825932012
"412",-122.28,37.89,52,1225,169,412,168,5.7912,12.6980212135265
"413",-122.28,37.89,52,2315,408,835,369,4.5893,12.5779809701095
"414",-122.28,37.89,52,2070,329,722,306,5.4171,12.5845090812504
"415",-122.28,37.89,52,2616,473,1085,487,4.125,12.5095050280732
"416",-122.27,37.89,52,2640,366,973,355,7.266,12.8242268470487
"417",-122.27,37.89,52,1978,293,723,272,5.3989,12.7236752535752
"419",-122.25,37.89,41,1125,195,356,181,6.1593,12.7483969363555
"420",-122.26,37.89,52,3078,494,1005,462,6.381,12.7431506404402
"421",-122.26,37.89,52,3706,531,1205,504,6.6828,12.8236877634777
"422",-122.25,37.89,37,3000,457,987,450,7.5385,12.7656884334656
"425",-122.26,37.88,52,2255,410,823,377,5.7979,12.9367564296188
"426",-122.27,37.88,52,3360,648,1232,621,4.2813,12.559893520486
"427",-122.27,37.88,52,1693,391,669,367,3.5417,12.5689781392195
"430",-122.28,37.88,52,1193,200,506,207,4.1912,12.4470561149727
"431",-122.28,37.88,52,1172,215,489,218,3.9167,12.3698907307596
"434",-122.29,37.88,46,1895,442,920,425,2.9926,12.1657713487566
"435",-122.29,37.88,52,1650,395,841,380,3.556,12.0968156595932
"438",-122.3,37.87,10,503,118,228,100,2.1705,11.9183905730784
"439",-122.3,37.86,50,499,127,287,128,2.75,11.8536742583587
"441",-122.3,37.88,46,1647,376,854,355,2.9,11.8831087589338
"442",-122.3,37.87,52,3123,749,1695,684,2.2208,11.8831087589338
"444",-122.28,37.87,52,589,132,288,131,3.5156,12.2060726455302
"447",-122.29,37.87,52,895,198,386,204,3.875,12.115053247143
"448",-122.28,37.88,52,1909,416,811,406,3.006,12.3366622152338
"449",-122.28,37.87,46,3022,696,1293,675,2.543,12.3045595922448
"450",-122.28,37.87,46,1777,446,805,431,2.8676,12.2643415536542
"451",-122.27,37.88,52,2803,930,1372,876,2.1907,12.5113490263829
"452",-122.27,37.87,30,1465,439,862,425,1.7778,12.5017228876311
"454",-122.26,37.88,52,1149,255,483,249,4.2788,12.714395139078
"455",-122.26,37.88,52,2363,604,1558,573,2.944,12.7334603575951
"457",-122.25,37.87,41,685,141,266,123,5.2289,12.8599591121368
"460",-122.25,37.87,52,609,236,1349,250,1.1696,13.1223653774023
"461",-122.26,37.87,52,1087,371,3337,350,1.4012,12.0725412529057
"463",-122.27,37.87,35,3218,1108,1675,1000,1.7464,12.2862691875245
"464",-122.27,37.87,49,1350,368,707,350,2.8846,12.2610342036041
"466",-122.28,37.86,52,938,195,393,189,3.8594,12.1879086749025
"471",-122.29,37.86,52,1665,404,815,372,1.9946,11.9633639387211
"472",-122.28,37.86,52,1659,367,788,346,2.8214,12.0094493040254
"473",-122.29,37.87,52,2225,460,1145,430,2.6165,11.9183905730784
"474",-122.29,37.86,50,2485,607,1354,563,1.9483,11.9217183631711
"479",-122.28,37.86,52,1999,417,780,358,3.3906,12.0968156595932
"482",-122.27,37.86,52,1088,305,486,267,2.6071,12.4292161968444
"485",-122.27,37.86,52,2307,583,1127,548,1.8447,12.197031900878
"486",-122.26,37.86,35,5161,1744,3276,1742,1.6307,12.4435135015452
"487",-122.26,37.86,52,3497,832,1493,794,2.9044,12.4583865741442
"488",-122.26,37.86,52,3774,744,1461,679,2.9405,12.5759105759952
"490",-122.25,37.86,48,2153,517,1656,459,3.0417,13.1013440101803
"491",-122.25,37.86,52,1389,191,514,202,7.0897,13.0085225609806
"494",-122.24,37.86,52,1668,225,517,214,7.8521,13.1223653774023
"495",-122.24,37.85,52,3726,474,1366,496,9.3959,13.1223653774023
"497",-122.26,37.85,52,3618,768,1508,755,3.2619,12.6430364206977
"498",-122.27,37.85,52,4076,920,1800,815,2.7054,12.1134089606668
"504",-122.28,37.85,52,610,145,281,132,2.9018,11.6902344799406
"507",-122.29,37.84,35,1872,419,1017,414,2.2106,11.7943379244084
"509",-122.3,37.84,14,7355,2408,3100,2051,4.0018,11.8761787242691
"510",-122.23,37.83,52,2990,379,947,361,7.8772,13.1223653774023
"511",-122.22,37.82,39,2492,310,808,315,11.8603,13.1223653774023
"512",-122.22,37.82,42,2991,335,1018,335,13.499,13.1223653774023
"513",-122.23,37.82,52,3242,366,1001,352,12.2138,13.1223653774023
"514",-122.23,37.82,52,3051,381,1005,369,8.1872,13.0521554823608
"515",-122.23,37.82,52,3494,396,1192,383,12.3804,13.1223653774023
"517",-122.24,37.83,52,2449,312,916,316,8.1194,13.0638864476454
"519",-122.24,37.82,52,3665,517,1470,520,6.155,12.8957136867608
"520",-122.25,37.82,52,2474,403,1104,398,5.883,12.7387576036491
"521",-122.23,37.76,52,3037,516,1242,518,5.2128,12.5772913149097
"522",-122.23,37.76,52,2269,323,805,321,4.7188,12.7227809324543
"523",-122.23,37.76,52,1316,177,378,162,5.2915,12.7158977689626
"524",-122.24,37.77,52,1153,235,481,223,2.6411,12.3925522124728
"525",-122.23,37.77,52,772,179,409,160,3.3214,12.1526718688031
"531",-122.26,37.78,52,970,217,528,208,3.3438,12.2125516116279
"533",-122.27,37.78,52,1408,280,718,265,2.6806,12.2448124738461
"534",-122.27,37.78,52,1222,264,630,265,3.7708,12.2797876833525
"540",-122.29,37.78,42,1241,309,821,300,1.9427,11.5346869567517
"546",-122.27,37.77,52,2252,388,1033,434,5.5337,12.8266491332553
"549",-122.27,37.77,52,2388,559,1121,518,3.3269,12.3652108668685
"550",-122.25,37.77,52,2156,458,872,445,3.2685,12.4458766377375
"555",-122.26,37.77,52,1848,479,921,477,2.875,12.3630763943398
"556",-122.24,37.77,43,955,284,585,266,2.3882,11.9984332807519
"557",-122.25,37.77,43,4329,1110,2086,1053,2.975,12.4024614595356
"560",-122.24,37.76,52,2504,516,979,472,3.4762,12.4049235042753
"561",-122.24,37.76,52,1846,471,827,446,2.6833,12.392137188603
"562",-122.23,37.76,52,1705,246,658,253,5.75,12.6323202928209
"563",-122.23,37.75,50,1542,289,654,268,3.9632,12.3883942023241
"567",-122.24,37.76,49,2428,525,1110,492,3.6719,12.3449646443968
"568",-122.24,37.76,52,2567,436,1119,415,4.6094,12.342786468846
"570",-122.25,37.74,25,1914,365,897,390,4.4562,12.236601850565
"571",-122.24,37.72,5,18634,2885,7427,2718,7.611,12.7676864361283
"572",-122.27,37.73,31,5785,1379,2973,1312,3.2689,12.3501729895039
"573",-122.25,37.76,52,2876,648,1340,632,3.567,12.4407494326581
"574",-122.27,37.74,28,6909,1554,2974,1484,3.6875,12.7767696663336
"575",-122.27,37.77,23,5679,1270,2690,1151,4.7695,12.5834811558558
"576",-122.28,37.75,20,1156,365,583,326,3.1972,11.5129254649702
"577",-122.06,37.77,12,14316,2045,5781,2007,7.2634,12.7413957408966
"582",-122.07,37.72,26,3204,477,1411,484,5.4834,12.5954083717085
"583",-122.08,37.72,31,3866,531,1368,521,6.187,12.7378766756814
"585",-122.08,37.71,35,2211,350,1004,365,5.4639,12.382543788646
"586",-122.09,37.71,35,2663,387,1086,367,5.1498,12.4927542176484
"589",-122.1,37.7,25,2973,622,1413,595,4.3819,12.2510460111729
"591",-122.09,37.71,31,1843,282,749,269,5.2855,12.4431191020134
"592",-122.09,37.7,31,2053,336,867,329,4.3375,12.3958662171628
"594",-122.09,37.7,30,1751,269,731,263,6.005,12.4833255224914
"599",-122.06,37.7,37,1893,310,821,315,4.6005,12.352767024681
"600",-122.06,37.7,33,3906,790,1912,770,3.5187,12.2520015774186
"601",-122.07,37.7,32,3400,736,1487,694,3,12.3158235094893
"602",-122.08,37.7,25,3402,758,1645,710,3.4934,12.2543865058087
"606",-122.07,37.69,31,5914,1309,2999,1295,3.0964,12.1574074735489
"608",-122.08,37.69,42,1414,274,629,244,3.3478,12.1275704173752
"610",-122.08,37.68,15,3051,685,1479,668,3.5295,12.3975191101011
"611",-122.09,37.69,20,4296,817,1732,800,4.8036,12.1457917146452
"612",-122.15,37.74,52,2898,557,1338,550,3.851,12.1199699464768
"613",-122.14,37.74,52,1071,201,440,192,4.0662,12.2268551847127
"614",-122.14,37.73,51,2619,403,922,393,4.6042,12.4367874623407
"616",-122.16,37.73,52,2260,416,994,412,4.1164,12.197031900878
"618",-122.15,37.73,52,1028,129,317,143,4.9135,12.5245263766487
"623",-122.16,37.73,52,1114,206,425,207,2.5625,12.0725412529057
"625",-122.18,37.71,45,726,147,519,135,3.375,11.9671807372478
"626",-122.17,37.71,38,890,200,481,198,3.244,12.0996004010197
"627",-122.18,37.7,36,2639,533,1209,519,4.0268,12.2332013129184
"628",-122.18,37.7,35,2562,554,1398,525,3.3906,12.0945822694968
"629",-122.19,37.71,36,361,69,158,58,5.5461,12.4780063610138
"630",-122.17,37.72,42,3008,659,1817,664,3.371,12.0137007528827
"631",-122.17,37.72,46,1369,284,766,289,3.5313,11.9810523342031
"633",-122.16,37.72,38,1007,245,618,239,2.875,11.8831087589338
"634",-122.17,37.72,43,3783,814,2139,789,4.0202,12.021548665181
"639",-122.15,37.72,31,1616,372,739,379,2.9097,12.2591393664669
"640",-122.15,37.72,47,1190,251,540,266,3.375,12.1975363145079
"643",-122.14,37.73,38,1723,394,711,353,3.0673,12.2940835228529
"644",-122.14,37.73,43,2264,390,931,368,3.8125,12.3677662345282
"645",-122.13,37.73,33,1996,268,686,270,6.9096,12.7419810496636
"646",-122.13,37.72,26,2862,394,1030,397,7.912,12.8139342318078
"647",-122.13,37.72,35,2183,383,976,392,3.8393,12.4028722215048
"650",-122.14,37.72,39,786,132,288,132,3.5156,12.296370283511
"652",-122.13,37.72,45,2315,451,1006,444,3.524,12.1345766438251
"653",-122.13,37.71,44,1613,339,776,346,3.1103,12.1489730534896
"656",-122.14,37.71,27,3094,866,1364,789,2.6101,12.1101122543843
"658",-122.13,37.7,43,3046,557,1333,544,3.4583,12.1210592712032
"659",-122.13,37.7,19,3516,710,1810,703,3.9032,12.2922503417712
"661",-122.15,37.7,36,1464,244,672,261,3.5547,12.1792151913603
"662",-122.14,37.7,17,1463,292,695,330,4.5859,12.1399328430256
"663",-122.13,37.7,21,4124,1054,2162,998,2.6321,12.3153753804206
"664",-122.13,37.69,17,2380,769,1216,643,3.395,12.510980498647
"666",-122.16,37.7,36,2239,391,1203,379,5.0043,12.1568824013394
"667",-122.14,37.69,38,1571,317,874,301,4.4659,12.1500312546465
"668",-122.15,37.69,38,1246,221,637,222,3.6625,12.1259466010509
"669",-122.15,37.69,36,1501,287,703,276,3.8864,12.1924806920107
"671",-122.16,37.69,36,1118,219,625,228,3.7813,12.1662917755183
"673",-122.16,37.7,36,1719,303,836,311,4.4375,12.173032791452
"674",-122.17,37.7,24,1755,365,952,362,4,12.2189888707967
"676",-122.17,37.69,24,2262,391,1125,366,4.7609,12.26716774489
"677",-122.18,37.68,5,2087,407,840,401,5.4858,12.1431328457563
"678",-122.16,37.69,36,1480,278,796,283,4.3971,12.234174075641
"679",-122.15,37.69,36,1545,273,863,267,4.0109,12.1699271988938
"680",-122.15,37.68,35,2632,447,1349,486,4.3864,12.2317403922788
"684",-122.14,37.68,27,3337,613,1489,607,3.6364,12.297739834056
"685",-122.14,37.68,31,3184,716,1561,628,2.7955,12.1177877306626
"686",-122.1,37.69,44,2341,500,1256,485,2.9507,11.9646378242437
"687",-122.12,37.69,30,1197,269,695,279,3.4375,11.9690836873939
